Day,Weekday,Race Number,Post Position,M/L Odds,Finish
13,Sunday,9,11,50,S
13,Sunday,9,12,30,S
13,Sunday,9,13,30,S
13,Sunday,9,14,4,1
13,Sunday,9,15,6,3
13,Sunday,9,16,4.5,9
14,Wednesday,1,1,4,S
14,Wednesday,1,2,1.6,6
14,Wednesday,1,3,3,2
14,Wednesday,1,4,20,1
14,Wednesday,1,5,4,3
14,Wednesday,1,6,6,4
14,Wednesday,1,7,30,S
14,Wednesday,1,8,15,5
14,Wednesday,2,1,1.2,2
14,Wednesday,2,2,30,4
14,Wednesday,2,3,20,S
14,Wednesday,2,4,30,9
14,Wednesday,2,5,12,5
14,Wednesday,2,6,20,6
14,Wednesday,2,7,15,3
14,Wednesday,2,8,3.5,1
14,Wednesday,2,9,30,S
14,Wednesday,2,10,10,S
14,Wednesday,2,11,6,S
14,Wednesday,2,12,30,8
14,Wednesday,2,13,6,S
14,Wednesday,2,14,20,S
14,Wednesday,2,15,20,7
14,Wednesday,2,16,3,S
14,Wednesday,3,1,30,7
14,Wednesday,3,2,4.5,8
14,Wednesday,3,3,6,1
14,Wednesday,3,4,3.5,3
14,Wednesday,3,5,10,4
14,Wednesday,3,6,3,6
14,Wednesday,3,7,12,9
14,Wednesday,3,8,15,2
14,Wednesday,3,9,4,5
14,Wednesday,4,1,8,S
14,Wednesday,4,2,20,1
14,Wednesday,4,3,15,3
14,Wednesday,4,4,30,6
14,Wednesday,4,5,15,4
14,Wednesday,4,6,30,9
14,Wednesday,4,7,1.8,2
14,Wednesday,4,8,3,5
14,Wednesday,4,9,30,8
14,Wednesday,4,10,8,7
14,Wednesday,4,11,20,10
14,Wednesday,4,12,8,S
14,Wednesday,4,13,6,S
14,Wednesday,4,14,12,S
14,Wednesday,4,15,50,S
14,Wednesday,4,16,30,S
14,Wednesday,5,1,12,10
14,Wednesday,5,2,15,8
14,Wednesday,5,3,20,7
14,Wednesday,5,4,15,3
14,Wednesday,5,5,1.6,6
14,Wednesday,5,6,3.5,2
14,Wednesday,5,7,8,1
14,Wednesday,5,8,12,S
14,Wednesday,5,9,30,9
14,Wednesday,5,10,30,5
14,Wednesday,5,11,5,4
14,Wednesday,6,1,8,S
14,Wednesday,6,2,1.4,2
14,Wednesday,6,3,20,7
14,Wednesday,6,4,6,9
14,Wednesday,6,5,3,6
14,Wednesday,6,6,15,5
14,Wednesday,6,7,30,4
14,Wednesday,6,8,30,3
14,Wednesday,6,9,6,1
14,Wednesday,6,10,50,8
14,Wednesday,7,1,3,4
14,Wednesday,7,2,3.5,1
14,Wednesday,7,3,1.8,S
14,Wednesday,7,4,20,5
14,Wednesday,7,5,30,S
14,Wednesday,7,6,30,6
14,Wednesday,7,7,8,3
14,Wednesday,7,8,4,2
14,Wednesday,8,1,10,S
14,Wednesday,8,2,30,12
14,Wednesday,8,3,30,5
14,Wednesday,8,4,20,9
14,Wednesday,8,5,6,6
14,Wednesday,8,6,12,1
14,Wednesday,8,7,10,7
14,Wednesday,8,8,30,10
14,Wednesday,8,9,3.5,3
14,Wednesday,8,10,2.5,2
14,Wednesday,8,11,8,4
14,Wednesday,8,12,8,8
14,Wednesday,8,13,10,11
14,Wednesday,8,14,6,S
14,Wednesday,8,15,30,S
14,Wednesday,8,16,50,S
15,Thursday,1,1,8,S
15,Thursday,1,2,20,4
15,Thursday,1,3,12,S
15,Thursday,1,4,1.8,3
15,Thursday,1,5,3,1
15,Thursday,1,6,2.5,S
15,Thursday,1,7,15,5
15,Thursday,1,8,20,2
15,Thursday,2,1,30,11
15,Thursday,2,2,30,8
15,Thursday,2,3,20,6
15,Thursday,2,4,6,2
15,Thursday,2,5,8,3
15,Thursday,2,6,30,10
15,Thursday,2,7,1.2,4
15,Thursday,2,8,20,9
15,Thursday,2,9,30,S
15,Thursday,2,10,30,7
15,Thursday,2,11,12,5
15,Thursday,2,12,3.5,1
15,Thursday,2,13,15,S
15,Thursday,2,14,8,S
15,Thursday,2,15,3.5,S
15,Thursday,2,16,12,12
15,Thursday,3,1,6,2
15,Thursday,3,2,12,4
15,Thursday,3,3,1.8,S
15,Thursday,3,4,2.5,S
15,Thursday,3,5,3,1
15,Thursday,3,6,6,3
15,Thursday,4,1,20,4
15,Thursday,4,2,6,3
15,Thursday,4,3,8,7
15,Thursday,4,4,3.5,6
15,Thursday,4,5,1.6,5
15,Thursday,4,6,20,8
15,Thursday,4,7,4.5,2
15,Thursday,4,8,6,1
15,Thursday,5,1,6,9
15,Thursday,5,2,8,2
15,Thursday,5,3,50,10
15,Thursday,5,4,20,7
15,Thursday,5,5,4,5
15,Thursday,5,6,3.5,6
15,Thursday,5,7,15,4
15,Thursday,5,8,30,8
15,Thursday,5,9,2.5,1
15,Thursday,5,10,6,3
15,Thursday,6,1,8,3
15,Thursday,6,2,4,2
15,Thursday,6,3,3,4
15,Thursday,6,4,10,6
15,Thursday,6,5,2.5,7
15,Thursday,6,6,6,5
15,Thursday,6,7,4,1
15,Thursday,7,1,10,4
15,Thursday,7,2,20,S
15,Thursday,7,3,4,5
15,Thursday,7,4,6,2
15,Thursday,7,5,4.5,3
15,Thursday,7,6,1.8,S
15,Thursday,7,7,3,1
15,Thursday,8,1,12,4
15,Thursday,8,2,20,6
15,Thursday,8,3,50,S
15,Thursday,8,4,3,3
15,Thursday,8,5,4,2
15,Thursday,8,6,15,9
15,Thursday,8,7,30,S
15,Thursday,8,8,12,7
15,Thursday,8,9,2,1
15,Thursday,8,10,30,5
15,Thursday,8,11,8,8
15,Thursday,8,12,30,S
15,Thursday,9,1,4.5,6
15,Thursday,9,2,15,9
15,Thursday,9,3,12,7
15,Thursday,9,4,30,2
15,Thursday,9,5,6,5
15,Thursday,9,6,12,8
15,Thursday,9,7,15,4
15,Thursday,9,8,8,3
15,Thursday,9,9,8,10
15,Thursday,9,10,4,1
15,Thursday,9,11,3.5,S
16,Friday,1,1,30,8
16,Friday,1,2,30,4
16,Friday,1,3,20,7
16,Friday,1,4,4,3
16,Friday,1,5,12,10
16,Friday,1,6,10,11
16,Friday,1,7,1.4,1
16,Friday,1,8,20,2
16,Friday,1,9,10,6
16,Friday,1,10,15,9
16,Friday,1,11,20,5
16,Friday,1,12,6,S
16,Friday,2,1,8,5
16,Friday,2,2,20,S
16,Friday,2,3,30,3
16,Friday,2,4,2.5,7
16,Friday,2,5,15,4
16,Friday,2,6,20,6
16,Friday,2,7,0.8,1
16,Friday,2,8,20,8
16,Friday,2,9,30,2
16,Friday,3,1,15,9
16,Friday,3,2,3.5,2
16,Friday,3,3,2.5,5
16,Friday,3,4,15,8
16,Friday,3,5,12,3
16,Friday,3,6,10,6
16,Friday,3,7,6,4
16,Friday,3,8,30,S
16,Friday,3,9,4.5,1
16,Friday,3,10,20,S
16,Friday,3,11,30,7
16,Friday,3,12,20,S
16,Friday,4,1,12,8
16,Friday,4,2,3,5
16,Friday,4,3,4.5,9
16,Friday,4,4,6,6
16,Friday,4,5,2.5,1
16,Friday,4,6,15,7
16,Friday,4,7,6,3
16,Friday,4,8,20,4
16,Friday,4,9,30,10
16,Friday,4,10,15,2
16,Friday,5,1,6,3
16,Friday,5,2,6,5
16,Friday,5,3,4,6
16,Friday,5,4,12,8
16,Friday,5,5,10,9
16,Friday,5,6,15,4
16,Friday,5,7,20,10
16,Friday,5,8,4.5,2
16,Friday,5,9,15,7
16,Friday,5,10,3.5,1
16,Friday,5,11,20,S
16,Friday,6,1,2,6
16,Friday,6,2,3,1
16,Friday,6,3,12,8
16,Friday,6,4,6,5
16,Friday,6,5,10,3
16,Friday,6,6,8,4
16,Friday,6,7,15,7
16,Friday,6,8,4.5,2
16,Friday,7,1,12,2
16,Friday,7,2,6,3
16,Friday,7,3,12,11
16,Friday,7,4,15,S
16,Friday,7,5,8,8
16,Friday,7,6,3.5,6
16,Friday,7,7,20,5
16,Friday,7,8,30,9
16,Friday,7,9,1.8,4
16,Friday,7,10,20,10
16,Friday,7,11,20,7
16,Friday,7,12,15,1
16,Friday,8,1,15,1
16,Friday,8,2,12,S
16,Friday,8,3,20,4
16,Friday,8,4,10,2
16,Friday,8,5,8,6
16,Friday,8,6,0.6,S
16,Friday,8,7,30,S
16,Friday,8,8,4,3
16,Friday,8,9,30,5
16,Friday,9,1,10,8
16,Friday,9,2,20,10
16,Friday,9,3,8,5
16,Friday,9,4,12,7
16,Friday,9,5,4.5,1
16,Friday,9,6,20,4
16,Friday,9,7,6,9
16,Friday,9,8,8,3
16,Friday,9,9,20,6
16,Friday,9,10,20,2
16,Friday,9,11,5,11
16,Friday,9,12,5,12
16,Friday,10,1,30,9
16,Friday,10,2,3,2
16,Friday,10,3,4.5,6
16,Friday,10,4,8,1
16,Friday,10,5,20,8
16,Friday,10,6,15,10
16,Friday,10,7,10,7
16,Friday,10,8,3.5,3
16,Friday,10,9,8,4
16,Friday,10,10,15,5
16,Friday,10,11,8,11
